# 2026-07-24T23:59:33-04:00  000b023  COUNT=10 BENCHTIME=300ms
goos: linux
goarch: amd64
pkg: github.com/jack-work/figaro/internal/chalkboard
cpu: AMD Ryzen 7 5800X 8-Core Processor             
BenchmarkDiff/default/identical-16              	55908164	         6.449 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiff/default/identical-16              	55776759	         6.478 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiff/default/identical-16              	51243442	         6.431 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiff/default/identical-16              	54170031	         6.452 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiff/default/identical-16              	46883307	         6.501 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiff/default/identical-16              	50927084	         6.498 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiff/default/one-key-16                	  380672	       809.6 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiff/default/one-key-16                	  476545	       807.1 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiff/default/one-key-16                	  501769	       801.6 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiff/default/one-key-16                	  390422	       809.7 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiff/default/one-key-16                	  411325	       800.7 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiff/default/one-key-16                	  459778	       784.2 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiff/default/one-key-16                	  455661	       788.4 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiff/default/one-key-16                	  376876	       816.8 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiff/default/one-key-16                	  407322	       812.8 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiff/default/one-key-16                	  446438	       808.0 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiff/default/all-different-16          	  105434	      3352 ns/op	    5306 B/op	       9 allocs/op
BenchmarkDiff/default/all-different-16          	  102066	      3424 ns/op	    5306 B/op	       9 allocs/op
BenchmarkDiff/default/all-different-16          	  103862	      3414 ns/op	    5306 B/op	       9 allocs/op
BenchmarkDiff/default/all-different-16          	  101562	      3433 ns/op	    5306 B/op	       9 allocs/op
BenchmarkDiff/default/all-different-16          	   97860	      3449 ns/op	    5306 B/op	       9 allocs/op
BenchmarkDiff/default/all-different-16          	  106308	      3410 ns/op	    5306 B/op	       9 allocs/op
BenchmarkDiff/default/all-different-16          	  103854	      3422 ns/op	    5306 B/op	       9 allocs/op
BenchmarkDiff/default/all-different-16          	  111793	      3400 ns/op	    5306 B/op	       9 allocs/op
BenchmarkDiff/default/all-different-16          	  106464	      3366 ns/op	    5306 B/op	       9 allocs/op
BenchmarkDiff/default/all-different-16          	  101942	      3407 ns/op	    5306 B/op	       9 allocs/op
BenchmarkDiffDerived/default/1-key-16           	 1956146	       183.3 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/default/1-key-16           	 1930634	       184.7 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/default/1-key-16           	 1957546	       184.2 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/default/1-key-16           	 1966735	       184.1 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/default/1-key-16           	 2017417	       180.3 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/default/1-key-16           	 1935922	       185.1 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/default/1-key-16           	 1950616	       186.4 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/default/1-key-16           	 1927629	       187.0 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/default/1-key-16           	 1991907	       182.7 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/default/1-key-16           	 1950657	       185.5 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/default/5-key-16           	 1244226	       292.0 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/default/5-key-16           	 1224200	       293.9 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/default/5-key-16           	 1224373	       292.8 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/default/5-key-16           	 1225022	       294.5 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/default/5-key-16           	 1231426	       292.6 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/default/5-key-16           	 1220638	       296.6 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/default/5-key-16           	 1205571	       298.4 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/default/5-key-16           	 1238503	       292.0 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/default/5-key-16           	 1240143	       291.3 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/default/5-key-16           	 1235796	       291.4 ns/op	     400 B/op	       2 allocs/op
BenchmarkGet/default-16                         	17829434	        19.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/default-16                         	18810642	        19.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/default-16                         	17133866	        19.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/default-16                         	19164672	        18.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/default-16                         	16874275	        19.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/default-16                         	17476635	        19.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/default-16                         	17481744	        19.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/default-16                         	18436888	        19.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/default-16                         	18301924	        18.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/default-16                         	18957204	        18.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkRender/default-16                      	   49352	      7421 ns/op	    2536 B/op	      21 allocs/op
BenchmarkRender/default-16                      	   47239	      7537 ns/op	    2536 B/op	      21 allocs/op
BenchmarkRender/default-16                      	   50342	      7391 ns/op	    2536 B/op	      21 allocs/op
BenchmarkRender/default-16                      	   47037	      7708 ns/op	    2536 B/op	      21 allocs/op
BenchmarkRender/default-16                      	   45448	      7564 ns/op	    2536 B/op	      21 allocs/op
BenchmarkRender/default-16                      	   52377	      7338 ns/op	    2536 B/op	      21 allocs/op
BenchmarkRender/default-16                      	   50217	      7153 ns/op	    2536 B/op	      21 allocs/op
BenchmarkRender/default-16                      	   46266	      7546 ns/op	    2536 B/op	      21 allocs/op
BenchmarkRender/default-16                      	   49276	      7494 ns/op	    2536 B/op	      21 allocs/op
BenchmarkRender/default-16                      	   49629	      7412 ns/op	    2536 B/op	      21 allocs/op
BenchmarkMarshalJSON/default-16                 	    2199	    157641 ns/op	  97.35 MB/s	   38862 B/op	      82 allocs/op
